Date,Page Title,Age,Gender,Source / Medium,Pageviews,Unique Pageviews
20190626,7 Outdated Sandal Trends We're Splitting Up With | Who What Wear,45-54,female,newsletter / email,5305,4567
20190602,The 12 Best Amazon Finds for Your Home | Who What Wear,55-64,female,from.flipboard.com / referral,5290,3867
20190628,Summer Wedding Makeup | Who What Wear,25-34,female,m.facebook.com / referral,5288,4702
20190627,4 Things to Pack for Backpackingâ€”and What to Leave at Home | Who What Wear,55-64,male,from.flipboard.com / referral,5241,4430
20190611,11 of the Best Nontoxic Beauty Productsâ€”and What to Avoid | Who What Wear,25-34,female,from.flipboard.com / referral,5237,4014
20190611,6 Makeup Tips for Women Over 40 From a Makeup Artist | Who What Wear,55-64,female,from.flipboard.com / referral,5228,4369
20190606,The 5 Summer Handbag Trends We're Already Seeing Everywhere | Who What Wear,55-64,female,newsletter / email,5181,4228
20190607,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,55-64,female,m.facebook.com / referral,5181,4668
20190606,15 Affordable Fashion Items That Will Sell This Month | Who What Wear,25-34,female,newsletter / email,5175,4036
20190624,5 Outdated Spring Fashion Trendsâ€”and Their Successors | Who What Wear,45-54,female,newsletter / email,5155,4202
20190627,7 Huge Fashion Trends You Can Find Way Cheaper on Amazon | Who What Wear,35-44,female,newsletter / email,5152,3969
20190609,The Only 31 Zara Items NYC Girls Are Buying This Summer | Who What Wear,55-64,female,newsletter / email,5123,4312
20190602,Summer Beauty Buys | Who What Wear,35-44,female,m.facebook.com / referral,5108,4510
20190622,"The 16 Best Fashion and Beauty Items at Target, Hands Down | Who What Wear",25-34,female,newsletter / email,5105,4024
20190622,Prepare to Lose It Over Reformation Shoes | Who What Wear,35-44,female,www-yahoo-com.cdn.ampproject.org / referral,5104,3887
20190622,Prepare to Lose It Over Reformation Shoes | Who What Wear,45-54,female,www-yahoo-com.cdn.ampproject.org / referral,5097,3833
20190630,7 Spring Fashion Trends for Every Age | Who What Wear,45-54,female,www-whowhatwear-com.cdn.ampproject.org / referral,5095,4030
20190610,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,55-64,female,m.facebook.com / referral,5093,4518
20190606,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,55-64,female,facebook.com / social,5083,4046
20190617,Fashion Essentials to See You Through Summer | Who What Wear,55-64,female,newsletter / email,5048,4109
20190611,6 Makeup Tips for Women Over 40 From a Makeup Artist | Who What Wear,45-54,female,from.flipboard.com / referral,5020,4235
20190609,"The Amal Clooney Capsule Wardrobe: 7 Pieces, Endless Outfits | Who What Wear",55-64,female,from.flipboard.com / referral,5015,4070
20190617,The 16 Items It Girls Always Wear to the Airport | Who What Wear,35-44,female,from.flipboard.com / referral,5014,3872
20190622,24 of the Best Tanning Bikinis to Minimize Lines | Who What Wear,55-64,male,yahoo.com / referral,5013,3985
20190628,The 23 Best Shopping Picks for June 2019 | Who What Wear,55-64,female,from.flipboard.com / referral,5012,4198
20190617,The 16 Items It Girls Always Wear to the Airport | Who What Wear,55-64,female,from.flipboard.com / referral,5003,3785
20190622,"The 16 Best Fashion and Beauty Items at Target, Hands Down | Who What Wear",35-44,female,newsletter / email,4999,4151
20190628,The 23 Best Shopping Picks for June 2019 | Who What Wear,25-34,female,google / organic,4995,3924
20190615,7 Outdated Shoe Trends for 2019â€”and What's in Instead | Who What Wear,45-54,female,newsletter / email,4994,4021
20190604,Shop H&M's Stranger Things Collection for Summer Essentials | Who What Wear,25-34,female,m.facebook.com / referral,4988,4206
20190602,7 Retro Fashion Trends That Are In (Plus 2 That Are Out) | Who What Wear,25-34,female,newsletter / email,4934,4124
20190607,We Tried On the 13 Biggest Summer Trends at Zara | Who What Wear,35-44,female,m.facebook.com / referral,4904,4356
20190619,The 4 Worst Things to Wear to an Airport | Who What Wear,25-34,female,m.facebook.com / referral,4904,3964
20190610,We Tried On the 13 Biggest Summer Trends at Zara | Who What Wear,25-34,female,m.facebook.com / referral,4902,4209
20190624,Meghan Markle Updated Her Engagement Ringâ€”See the Photos | Who What Wear,45-54,female,from.flipboard.com / referral,4895,3298
20190626,7 Outdated Sandal Trends We're Splitting Up With | Who What Wear,35-44,female,newsletter / email,4893,4175
20190626,6 French Skincare Products Women Over 50 Swear By | Who What Wear,55-64,female,from.flipboard.com / referral,4889,3942
20190620,5 Trends Fashion Girls Are Wearing to the Beach | Who What Wear,45-54,female,from.flipboard.com / referral,4855,3918
20190610,The Only 31 Zara Items NYC Girls Are Buying This Summer | Who What Wear,25-34,female,newsletter / email,4847,4158
20190628,The 23 Best Shopping Picks for June 2019 | Who What Wear,25-34,female,tpc.googlesyndication.com / referral,4829,3767
20190628,The 23 Best Shopping Picks for June 2019 | Who What Wear,25-34,female,m.facebook.com / referral,4823,3952
20190608,Barbie Feet: The Photogenic Pose Becoming an Epidemic | Who What Wear,35-44,female,m.facebook.com / referral,4810,4370
20190605,Jennifer Lopez Wore a Belted Blazer With Skinny Jeans | Who What Wear,45-54,female,popsugar / facebook,4801,4037
20190607,5 Wardrobe Basics Jennifer Aniston Has Worn for Years | Who What Wear,55-64,female,newsletter / email,4798,4007
20190607,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,35-44,female,facebook.com / social,4797,4100
20190602,7 Retro Fashion Trends That Are In (Plus 2 That Are Out) | Who What Wear,45-54,female,newsletter / email,4777,3935
20190611,Summer Beauty Buys | Who What Wear,25-34,female,m.facebook.com / referral,4770,4267
20190627,15 Summer Fashion Trends Women Over 50 Wear on Repeat | Who What Wear,55-64,female,from.flipboard.com / referral,4764,3874
20190619,11 Summer Skirt Trends That Will Be Huge This Season | Who What Wear,25-34,female,newsletter / email,4761,3869
20190608,10 Stylish Sneakers Women Over 40 Are Wearing | Who What Wear,55-64,female,newsletter / email,4760,3771
20190624,Amal Clooney Wore a Gucci Dress With the Obamas in Italy | Who What Wear,55-64,female,from.flipboard.com / referral,4760,3325
20190622,Prepare to Lose It Over Reformation Shoes | Who What Wear,55-64,female,www-yahoo-com.cdn.ampproject.org / referral,4757,3562
20190623,How to Wear Crop Tops With Jeans | Who What Wear,25-34,female,m.facebook.com / referral,4754,3309
20190603,6 Clothing Basics Women Over 50 Never Forget to Buy | Who What Wear,35-44,female,newsletter / email,4743,3801
20190610,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,35-44,female,facebook.com / social,4738,4043
20190625,"These Are the 9 Biggest Fall 2019 Trends, Period | Who What Wear",25-34,female,newsletter / email,4721,3760
20190605,6 Summer Trends That Have Anna Wintour's Approval | Who What Wear,35-44,female,newsletter / email,4720,3688
20190625,Meghan Markle Updated Her Engagement Ringâ€”See the Photos | Who What Wear,35-44,female,from.flipboard.com / referral,4701,2997
20190623,Shop These Fourth of July Outfit Ideas From H&M | Who What Wear,25-34,female,lm.facebook.com / referral,4695,4087
20190613,Jennifer Lopez Wore 2019's Biggest Grandma Trend | Who What Wear,35-44,female,vogue / facebook,4693,4028
20190607,How to Dress for Summer in the South | Who What Wear,55-64,female,from.flipboard.com / referral,4690,3972
20190609,How to Become a Morning Person | TheThirty,25-34,female,m.facebook.com / referral,4689,4203
20190626,The Best Miami Summer Trends for Under $100 | Who What Wear,35-44,female,m.facebook.com / referral,4684,3989
20190626,7 Outdated Sandal Trends We're Splitting Up With | Who What Wear,55-64,female,newsletter / email,4668,4078
20190624,7 Outdated Sandal Trends We're Splitting Up With | Who What Wear,55-64,female,google / organic,4660,4160
20190628,8 '90s Jewelry Trends You'll See Everywhere This Season | Who What Wear,45-54,female,newsletter / email,4641,3753
20190601,Summer Beauty Buys | Who What Wear,35-44,female,m.facebook.com / referral,4639,3981
20190621,9 Summer Outfits Our Editors Wore to the Office This Month | Who What Wear,25-34,female,google / organic,4636,3779
